county,state_code,state,tax_burden,medianage,cost_of_living_rank,elementary_school_rating,middle_school_rating,high_school_rating,daily_cases,percentage_fully_vaccinated,risk_index,risk
Chester County,TN,Tennessee,5.74,39.0,49.0,7,1,9,5842.0,35.9,1.0,Medium
Chesterfield County,SC,South Carolina,7.45,39.0,40.0,5,2,7,11800.0,36.8,1.0,Medium
Chesterfield County,VA,Virginia,7.86,38.0,37.0,8,7,10,73046.0,69.6,2.0,High
Cheyenne County,CO,Colorado,8.31,37.0,26.0,1,10,4,321.0,33.1,0.0,Low
Chickasaw County,MS,Mississippi,8.99,38.0,15.0,1,3,4,5587.0,48.4,0.0,Low
Chicot County,AR,Arkansas,8.8,38.0,20.0,1,5,9,2774.0,54.50000000000001,1.0,Medium
Chilton County,AL,Alabama,7.45,39.0,40.0,10,10,1,11071.0,36.3,1.0,Medium
Chippewa County,MN,Minnesota,9.99,38.0,6.0,9,8,4,3077.0,53.300000000000004,2.0,High
Chippewa County,WI,Wisconsin,8.89,40.0,17.0,2,9,4,18681.0,56.89999999999999,1.0,Medium
Chisago County,MN,Minnesota,9.99,38.0,6.0,4,9,2,14529.0,57.3,1.0,Medium
Chittenden County,VT,Vermont,10.75,43.0,3.0,10,1,4,32039.0,84.0,3.0,Critical
Choctaw County,MS,Mississippi,8.99,38.0,15.0,5,1,5,2312.0,36.1,3.0,Critical
Choctaw County,OK,Oklahoma,7.13,37.0,44.0,10,10,9,4062.0,35.4,1.0,Medium
Churchill County,NV,Nevada,8.23,38.0,29.0,7,2,3,6569.0,53.800000000000004,0.0,Low
Cibola County,NM,New Mexico,8.19,38.0,30.0,2,2,3,7871.0,60.3,2.0,High
Citrus County,FL,Florida,6.97,42.0,45.0,4,9,10,29524.0,56.2,1.0,Medium
Clackamas County,OR,Oregon,8.29,39.0,27.0,10,1,2,60494.0,68.7,2.0,High
Claiborne County,MS,Mississippi,8.99,38.0,15.0,4,1,10,2142.0,55.00000000000001,1.0,Medium
Claiborne County,TN,Tennessee,5.74,39.0,49.0,8,8,1,9102.0,45.9,1.0,Medium
Claiborne Parish,LA,Louisiana,8.82,37.0,19.0,5,6,6,3278.0,40.8,0.0,Low
Clallam County,WA,Washington,8.34,38.0,24.0,5,7,4,11386.0,68.30000000000001,2.0,High
Clare County,MI,Michigan,8.34,40.0,24.0,1,10,8,6746.0,46.300000000000004,1.0,Medium
Clarendon County,SC,South Carolina,7.45,39.0,40.0,2,8,5,8720.0,49.0,1.0,Medium
Clark County,AR,Arkansas,8.8,38.0,20.0,7,10,1,5309.0,48.8,1.0,Medium
Clark County,IN,Indiana,8.15,38.0,33.0,3,4,6,31086.0,60.199999999999996,1.0,Medium
Clark County,KY,Kentucky,8.58,39.0,22.0,1,3,1,10450.0,54.6,1.0,Medium
Clark County,NV,Nevada,8.23,38.0,29.0,6,10,5,536770.0,57.4,1.0,Medium
Clark County,OH,Ohio,8.96,39.0,16.0,9,8,4,34957.0,52.900000000000006,1.0,Medium
Clark County,WA,Washington,8.34,38.0,24.0,9,1,4,88711.0,64.7,1.0,Medium
Clark County,WI,Wisconsin,8.89,40.0,17.0,6,8,6,7605.0,37.6,2.0,High
Clarke County,IA,Iowa,9.26,38.0,13.0,10,4,6,2263.0,54.800000000000004,1.0,Medium
Clarke County,MS,Mississippi,8.99,38.0,15.0,2,8,7,4230.0,56.8,1.0,Medium
Clarke County,VA,Virginia,7.86,38.0,37.0,2,2,1,2615.0,66.9,2.0,High
Clatsop County,OR,Oregon,8.29,39.0,27.0,7,8,6,4624.0,66.3,1.0,Medium
Clay County,AL,Alabama,7.45,39.0,40.0,1,9,2,4076.0,41.699999999999996,0.0,Low
Clay County,AR,Arkansas,8.8,38.0,20.0,9,6,2,4103.0,45.7,1.0,Medium
Clay County,FL,Florida,6.97,42.0,45.0,4,4,8,53462.0,54.0,0.0,Low
Clay County,GA,Georgia,7.91,37.0,35.0,1,5,7,531.0,63.7,2.0,High
Clay County,KY,Kentucky,8.58,39.0,22.0,5,8,3,7863.0,44.4,1.0,Medium
Clay County,MO,Missouri,7.75,39.0,39.0,10,4,4,26987.0,54.0,4.0,Unknown
Clay County,MS,Mississippi,8.99,38.0,15.0,4,8,7,4962.0,46.6,2.0,High
Clay County,NC,North Carolina,8.07,39.0,34.0,1,4,7,2620.0,46.7,1.0,Medium
Clay County,TN,Tennessee,5.74,39.0,49.0,7,3,8,2288.0,29.7,2.0,High
Clay County,TX,Texas,8.19,35.0,30.0,9,1,2,2074.0,46.6,1.0,Medium
Clayton County,GA,Georgia,7.91,37.0,35.0,10,3,10,64018.0,43.5,1.0,Medium
Clear Creek County,CO,Colorado,8.31,37.0,26.0,8,4,8,1559.0,49.2,2.0,High
Clearwater County,ID,Idaho,7.88,36.0,36.0,2,3,2,2305.0,42.5,1.0,Medium
Clearwater County,MN,Minnesota,9.99,38.0,6.0,1,6,9,2155.0,41.8,1.0,Medium
Cleburne County,AL,Alabama,7.45,39.0,40.0,7,7,9,3552.0,28.799999999999997,1.0,Medium
Cleburne County,AR,Arkansas,8.8,38.0,20.0,6,7,2,6445.0,44.4,1.0,Medium
Clermont County,OH,Ohio,8.96,39.0,16.0,3,10,4,51337.0,56.8,1.0,Medium
Cleveland County,AR,Arkansas,8.8,38.0,20.0,5,7,7,2260.0,52.900000000000006,1.0,Medium
Cleveland County,NC,North Carolina,8.07,39.0,34.0,8,2,4,29495.0,50.5,1.0,Medium
Cleveland County,OK,Oklahoma,7.13,37.0,44.0,2,9,10,79216.0,55.800000000000004,1.0,Medium
Clinch County,GA,Georgia,7.91,37.0,35.0,1,5,8,2122.0,39.900000000000006,1.0,Medium
Clinton County,IL,Illinois,9.52,38.0,9.0,1,7,2,11969.0,59.699999999999996,1.0,Medium
Clinton County,MI,Michigan,8.34,40.0,24.0,8,2,2,21272.0,57.4,1.0,Medium
Clinton County,MO,Missouri,7.75,39.0,39.0,9,5,4,4804.0,47.3,4.0,Unknown
Clinton County,OH,Ohio,8.96,39.0,16.0,8,8,8,10315.0,49.0,2.0,High
Coahoma County,MS,Mississippi,8.99,38.0,15.0,1,2,8,6462.0,51.6,1.0,Medium
Coal County,OK,Oklahoma,7.13,37.0,44.0,4,10,4,1673.0,40.699999999999996,3.0,Critical
Cobb County,GA,Georgia,7.91,37.0,35.0,10,2,2,174543.0,58.199999999999996,2.0,High
Cochise County,AZ,Arizona,8.19,38.0,30.0,8,6,10,31411.0,64.60000000000001,1.0,Medium
Cocke County,TN,Tennessee,5.74,39.0,49.0,5,7,8,11579.0,49.6,1.0,Medium
Coconino County,AZ,Arizona,8.19,38.0,30.0,9,1,1,43547.0,76.7,2.0,High
Coffee County,GA,Georgia,7.91,37.0,35.0,7,2,7,11189.0,37.2,1.0,Medium
Coffee County,TN,Tennessee,5.74,39.0,49.0,9,1,9,16941.0,46.2,0.0,Low
Coke County,TX,Texas,8.19,35.0,30.0,8,5,10,839.0,46.7,1.0,Medium
Coleman County,TX,Texas,8.19,35.0,30.0,5,2,4,1632.0,37.1,2.0,High
Colleton County,SC,South Carolina,7.45,39.0,40.0,3,7,1,8849.0,48.4,2.0,High
Collier County,FL,Florida,6.97,42.0,45.0,4,7,6,83572.0,69.8,0.0,Low
Collin County,TX,Texas,8.19,35.0,30.0,2,4,10,210306.0,67.2,2.0,High
Colonial Heights,VA,Virginia,7.86,38.0,37.0,1,6,1,,,,
Colorado County,TX,Texas,8.19,35.0,30.0,9,1,3,3797.0,52.900000000000006,1.0,Medium
Colquitt County,GA,Georgia,7.91,37.0,35.0,3,9,5,11725.0,40.1,1.0,Medium
Columbia County,AR,Arkansas,8.8,38.0,20.0,4,2,4,5419.0,48.6,1.0,Medium
Columbia County,GA,Georgia,7.91,37.0,35.0,5,7,8,35969.0,50.6,1.0,Medium
Columbia County,OR,Oregon,8.29,39.0,27.0,2,3,1,7607.0,60.8,1.0,Medium
Columbia County,WA,Washington,8.34,38.0,24.0,8,5,4,608.0,46.1,0.0,Low
Columbia County,WI,Wisconsin,8.89,40.0,17.0,6,7,9,15275.0,67.10000000000001,2.0,High
Columbiana County,OH,Ohio,8.96,39.0,16.0,9,9,5,24387.0,49.2,1.0,Medium
Colusa County,CA,California,9.48,37.0,10.0,8,7,1,4532.0,60.3,1.0,Medium
Comal County,TX,Texas,8.19,35.0,30.0,3,9,2,34021.0,62.1,2.0,High
Comanche County,OK,Oklahoma,7.13,37.0,44.0,2,10,6,33062.0,60.699999999999996,1.0,Medium
Comanche County,TX,Texas,8.19,35.0,30.0,3,2,9,3599.0,47.199999999999996,3.0,Critical
Concho County,TX,Texas,8.19,35.0,30.0,6,1,6,1079.0,51.4,1.0,Medium
Conejos County,CO,Colorado,8.31,37.0,26.0,7,2,5,1738.0,49.4,2.0,High
Contra Costa County,CA,California,9.48,37.0,10.0,5,7,9,203124.0,82.1,1.0,Medium
Conway County,AR,Arkansas,8.8,38.0,20.0,2,9,2,5468.0,53.7,1.0,Medium
Cook County,GA,Georgia,7.91,37.0,35.0,8,4,7,4900.0,41.0,1.0,Medium
Cook County,IL,Illinois,9.52,38.0,9.0,9,5,10,1140977.0,72.5,2.0,High
Cook County,MN,Minnesota,9.99,38.0,6.0,5,6,5,558.0,80.2,1.0,Medium
Cooke County,TX,Texas,8.19,35.0,30.0,9,2,2,7331.0,37.8,2.0,High
Coos County,NH,New Hampshire,6.84,43.0,46.0,4,3,5,6971.0,,2.0,High
Coos County,OR,Oregon,8.29,39.0,27.0,1,8,9,10695.0,57.199999999999996,1.0,Medium
Coosa County,AL,Alabama,7.45,39.0,40.0,4,7,3,2963.0,40.6,2.0,High
Copiah County,MS,Mississippi,8.99,38.0,15.0,10,10,9,7140.0,54.2,2.0,High
Cortland County,NY,New York,12.79,39.0,1.0,6,9,9,10859.0,59.3,3.0,Critical
Coryell County,TX,Texas,8.19,35.0,30.0,9,3,1,17526.0,61.0,2.0,High
Coshocton County,OH,Ohio,8.96,39.0,16.0,10,2,10,7959.0,38.7,2.0,High
Costilla County,CO,Colorado,8.31,37.0,26.0,7,7,9,692.0,60.199999999999996,3.0,Critical
Cotton County,OK,Oklahoma,7.13,37.0,44.0,1,5,5,1454.0,50.0,2.0,High
Cottonwood County,MN,Minnesota,9.99,38.0,6.0,4,10,9,3223.0,56.00000000000001,1.0,Medium
Covington County,MS,Mississippi,8.99,38.0,15.0,1,6,4,7072.0,51.300000000000004,1.0,Medium
Coweta County,GA,Georgia,7.91,37.0,35.0,2,9,4,32971.0,44.5,1.0,Medium
Cowlitz County,WA,Washington,8.34,38.0,24.0,2,6,3,22922.0,58.9,1.0,Medium
Craig County,OK,Oklahoma,7.13,37.0,44.0,8,4,6,4763.0,53.300000000000004,1.0,Medium
Craighead County,AR,Arkansas,8.8,38.0,20.0,3,9,2,37603.0,45.300000000000004,1.0,Medium
Crawford County,AR,Arkansas,8.8,38.0,20.0,7,3,1,15826.0,45.7,0.0,Low
Crawford County,GA,Georgia,7.91,37.0,35.0,10,3,4,1769.0,40.8,0.0,Low
Crawford County,IN,Indiana,8.15,38.0,33.0,9,2,7,2548.0,37.2,1.0,Medium
Crawford County,MO,Missouri,7.75,39.0,39.0,8,4,7,5396.0,33.5,4.0,Unknown
Crawford County,OH,Ohio,8.96,39.0,16.0,1,9,7,11181.0,45.1,1.0,Medium
Crawford County,WI,Wisconsin,8.89,40.0,17.0,2,1,9,4236.0,58.3,2.0,High
Creek County,OK,Oklahoma,7.13,37.0,44.0,8,2,3,18158.0,43.6,1.0,Medium
Crisp County,GA,Georgia,7.91,37.0,35.0,1,9,4,4672.0,43.7,1.0,Medium
Crittenden County,AR,Arkansas,8.8,38.0,20.0,1,1,10,14262.0,44.9,0.0,Low
Crockett County,TN,Tennessee,5.74,39.0,49.0,1,7,3,5177.0,48.5,0.0,Low
Crook County,OR,Oregon,8.29,39.0,27.0,1,3,3,6048.0,50.9,2.0,High
Cross County,AR,Arkansas,8.8,38.0,20.0,7,9,7,4827.0,50.9,1.0,Medium
Crow Wing County,MN,Minnesota,9.99,38.0,6.0,3,9,6,15964.0,56.49999999999999,1.0,Medium
Cullman County,AL,Alabama,7.45,39.0,40.0,1,8,4,24511.0,38.2,2.0,High
Culpeper County,VA,Virginia,7.86,38.0,37.0,4,10,10,11395.0,64.3,1.0,Medium
Cumberland County,ME,Maine,10.5,45.0,4.0,6,4,8,48885.0,84.5,2.0,High
Cumberland County,NJ,New Jersey,9.98,40.0,7.0,10,8,6,39554.0,52.5,2.0,High
Cumberland County,PA,Pennsylvania,8.46,41.0,23.0,5,10,10,51009.0,64.1,1.0,Medium
Cumberland County,TN,Tennessee,5.74,39.0,49.0,2,3,8,16103.0,46.800000000000004,1.0,Medium
Cumberland County,VA,Virginia,7.86,38.0,37.0,10,4,3,1324.0,50.8,3.0,Critical
Cuming County,NE,Nebraska,9.01,37.0,14.0,7,6,5,1809.0,53.1,1.0,Medium
Curry County,OR,Oregon,8.29,39.0,27.0,2,6,4,3353.0,55.50000000000001,1.0,Medium
Custer County,OK,Oklahoma,7.13,37.0,44.0,2,5,3,7901.0,48.5,2.0,High
Cuyahoga County,OH,Ohio,8.96,39.0,16.0,8,1,7,269568.0,64.9,2.0,High
Daggett County,UT,Utah,8.29,31.0,27.0,6,6,8,151.0,66.5,0.0,Low
Dakota County,MN,Minnesota,9.99,38.0,6.0,4,3,5,110296.0,69.5,2.0,High
Dallas County,AR,Arkansas,8.8,38.0,20.0,8,7,6,1740.0,56.49999999999999,1.0,Medium
Dallas County,IA,Iowa,9.26,38.0,13.0,4,7,4,23047.0,66.8,1.0,Medium
Dallas County,TX,Texas,8.19,35.0,30.0,5,7,4,560690.0,60.3,1.0,Medium
Dane County,WI,Wisconsin,8.89,40.0,17.0,3,1,5,126262.0,82.69999999999999,3.0,Critical
Darke County,OH,Ohio,8.96,39.0,16.0,9,2,4,12381.0,39.4,2.0,High
Darlington County,SC,South Carolina,7.45,39.0,40.0,8,10,8,18885.0,48.699999999999996,0.0,Low
Dauphin County,PA,Pennsylvania,8.46,41.0,23.0,9,3,7,59119.0,60.3,1.0,Medium
Davidson County,NC,North Carolina,8.07,39.0,34.0,7,3,1,43032.0,48.5,1.0,Medium
Davidson County,TN,Tennessee,5.74,39.0,49.0,5,7,4,207807.0,65.10000000000001,2.0,High
Davie County,NC,North Carolina,8.07,39.0,34.0,8,5,2,11129.0,57.3,1.0,Medium
Daviess County,MO,Missouri,7.75,39.0,39.0,3,2,9,1716.0,33.1,4.0,Unknown
Davis County,UT,Utah,8.29,31.0,27.0,3,4,8,100190.0,66.7,1.0,Medium
Dawson County,GA,Georgia,7.91,37.0,35.0,6,3,5,6927.0,39.7,2.0,High
De Soto Parish,LA,Louisiana,8.82,37.0,19.0,3,3,1,7325.0,42.8,1.0,Medium
De Witt County,IL,Illinois,9.52,38.0,9.0,7,5,3,4331.0,52.800000000000004,2.0,High
DeKalb County,AL,Alabama,7.45,39.0,40.0,6,4,4,18711.0,33.900000000000006,0.0,Low
DeKalb County,GA,Georgia,7.91,37.0,35.0,1,5,4,150413.0,56.2,1.0,Medium
DeKalb County,IL,Illinois,9.52,38.0,9.0,6,9,3,23472.0,56.699999999999996,2.0,High
DeKalb County,MO,Missouri,7.75,39.0,39.0,2,1,1,2204.0,28.000000000000004,4.0,Unknown
DeKalb County,TN,Tennessee,5.74,39.0,49.0,7,4,6,6278.0,41.3,0.0,Low
DeSoto County,FL,Florida,6.97,42.0,45.0,9,2,2,9385.0,46.300000000000004,1.0,Medium
DeSoto County,MS,Mississippi,8.99,38.0,15.0,5,5,9,50104.0,54.300000000000004,1.0,Medium
DeWitt County,TX,Texas,8.19,35.0,30.0,2,7,5,6461.0,45.4,1.0,Medium
Dearborn County,IN,Indiana,8.15,38.0,33.0,7,10,1,13430.0,61.6,1.0,Medium
Decatur County,GA,Georgia,7.91,37.0,35.0,6,8,4,7248.0,49.0,1.0,Medium
Decatur County,IN,Indiana,8.15,38.0,33.0,9,9,3,6994.0,48.1,0.0,Low
Decatur County,TN,Tennessee,5.74,39.0,49.0,7,8,5,3731.0,38.1,1.0,Medium
Defiance County,OH,Ohio,8.96,39.0,16.0,1,5,4,10214.0,49.1,1.0,Medium
Delaware County,OH,Ohio,8.96,39.0,16.0,9,6,5,44373.0,75.0,2.0,High
Delaware County,OK,Oklahoma,7.13,37.0,44.0,9,6,5,11056.0,42.1,0.0,Low
Delaware County,PA,Pennsylvania,8.46,41.0,23.0,7,8,1,110466.0,63.2,2.0,High
Delta County,TX,Texas,8.19,35.0,30.0,5,7,3,1813.0,35.8,2.0,High
Dent County,MO,Missouri,7.75,39.0,39.0,4,1,2,3261.0,34.1,4.0,Unknown
Denton County,TX,Texas,8.19,35.0,30.0,1,9,8,179677.0,61.4,1.0,Medium
Denver County,CO,Colorado,8.31,37.0,26.0,3,7,9,170683.0,75.7,3.0,Critical
Deschutes County,OR,Oregon,8.29,39.0,27.0,8,5,6,46107.0,68.89999999999999,1.0,Medium
Desha County,AR,Arkansas,8.8,38.0,20.0,10,8,9,3025.0,59.9,2.0,High
Dewey County,OK,Oklahoma,7.13,37.0,44.0,10,4,5,1060.0,25.3,2.0,High
Dickson County,TN,Tennessee,5.74,39.0,49.0,3,4,5,15877.0,48.699999999999996,1.0,Medium
Dillon County,SC,South Carolina,7.45,39.0,40.0,2,4,8,9698.0,44.5,0.0,Low
Dimmit County,TX,Texas,8.19,35.0,30.0,6,5,9,5696.0,72.39999999999999,1.0,Medium
Dinwiddie County,VA,Virginia,7.86,38.0,37.0,3,4,7,5325.0,66.9,1.0,Medium
District of Columbia,DC,Columbia,,,,7,10,8,139772.0,,3.0,Critical
Dodge County,GA,Georgia,7.91,37.0,35.0,9,4,8,5232.0,35.4,1.0,Medium
Dodge County,MN,Minnesota,9.99,38.0,6.0,6,3,2,5688.0,60.5,1.0,Medium
Dodge County,NE,Nebraska,9.01,37.0,14.0,2,8,6,10151.0,54.1,2.0,High
Dodge County,WI,Wisconsin,8.89,40.0,17.0,6,4,5,27216.0,52.2,1.0,Medium
Dooly County,GA,Georgia,7.91,37.0,35.0,9,9,10,2376.0,37.3,0.0,Low
Door County,WI,Wisconsin,8.89,40.0,17.0,4,8,2,6966.0,78.2,2.0,High
Dorchester County,MD,Maryland,9.32,39.0,12.0,4,7,4,7733.0,59.3,2.0,High
Dorchester County,SC,South Carolina,7.45,39.0,40.0,8,5,5,55906.0,53.300000000000004,1.0,Medium
Dougherty County,GA,Georgia,7.91,37.0,35.0,2,6,4,19605.0,49.1,2.0,High
Douglas County,CO,Colorado,8.31,37.0,26.0,9,6,9,79005.0,73.4,2.0,High
Douglas County,GA,Georgia,7.91,37.0,35.0,9,8,6,34898.0,46.300000000000004,1.0,Medium
Douglas County,IL,Illinois,9.52,38.0,9.0,6,9,10,6470.0,48.8,2.0,High
Douglas County,MN,Minnesota,9.99,38.0,6.0,4,3,8,10902.0,57.4,1.0,Medium
Douglas County,NE,Nebraska,9.01,37.0,14.0,6,9,9,149972.0,66.60000000000001,1.0,Medium
Douglas County,NV,Nevada,8.23,38.0,29.0,10,2,10,7302.0,51.2,2.0,High
Douglas County,OR,Oregon,8.29,39.0,27.0,1,9,10,19762.0,52.6,1.0,Medium
Douglas County,WA,Washington,8.34,38.0,24.0,8,9,10,11072.0,61.7,1.0,Medium
Drew County,AR,Arkansas,8.8,38.0,20.0,7,8,6,4680.0,48.0,0.0,Low
DuPage County,IL,Illinois,9.52,38.0,9.0,10,6,9,212040.0,77.10000000000001,2.0,High
Duchesne County,UT,Utah,8.29,31.0,27.0,3,4,1,4349.0,44.9,2.0,High
Dukes County,MA,Massachusetts,8.77,40.0,21.0,10,4,5,3461.0,,1.0,Medium
Dunn County,WI,Wisconsin,8.89,40.0,17.0,4,9,5,13307.0,49.3,1.0,Medium
Durham County,NC,North Carolina,8.07,39.0,34.0,5,2,7,72976.0,71.0,2.0,High
Dutchess County,NY,New York,12.79,39.0,1.0,9,2,8,64519.0,70.1,2.0,High
Duval County,FL,Florida,6.97,42.0,45.0,6,2,6,252539.0,60.9,1.0,Medium
Dyer County,TN,Tennessee,5.74,39.0,49.0,4,6,1,12792.0,40.300000000000004,1.0,Medium
Eagle County,CO,Colorado,8.31,37.0,26.0,8,1,5,16006.0,82.19999999999999,2.0,High
Early County,GA,Georgia,7.91,37.0,35.0,2,9,3,2762.0,48.9,1.0,Medium
East Baton Rouge Parish,LA,Louisiana,8.82,37.0,19.0,3,9,3,110837.0,55.900000000000006,1.0,Medium
East Feliciana Parish,LA,Louisiana,8.82,37.0,19.0,8,8,9,7303.0,40.6,1.0,Medium
Eastland County,TX,Texas,8.19,35.0,30.0,5,8,8,2819.0,37.5,2.0,High
Eaton County,MI,Michigan,8.34,40.0,24.0,9,5,7,26840.0,56.99999999999999,1.0,Medium
Eau Claire County,WI,Wisconsin,8.89,40.0,17.0,5,4,4,30275.0,61.8,2.0,High
Echols County,GA,Georgia,7.91,37.0,35.0,7,1,3,936.0,31.1,1.0,Medium
Edgefield County,SC,South Carolina,7.45,39.0,40.0,5,1,1,6755.0,59.699999999999996,1.0,Medium
Edwards County,TX,Texas,8.19,35.0,30.0,1,2,7,432.0,84.6,0.0,Low
Effingham County,GA,Georgia,7.91,37.0,35.0,9,10,9,13177.0,38.5,1.0,Medium
El Dorado County,CA,California,9.48,37.0,10.0,4,8,3,30014.0,60.699999999999996,1.0,Medium
El Paso County,CO,Colorado,8.31,37.0,26.0,9,3,2,185364.0,64.3,2.0,High
El Paso County,TX,Texas,8.19,35.0,30.0,4,1,5,207545.0,80.9,1.0,Medium
Elbert County,CO,Colorado,8.31,37.0,26.0,4,9,10,4775.0,37.5,2.0,High
Elbert County,GA,Georgia,7.91,37.0,35.0,7,2,5,4556.0,42.0,1.0,Medium
Ellis County,OK,Oklahoma,7.13,37.0,44.0,1,6,4,773.0,35.0,1.0,Medium
Ellis County,TX,Texas,8.19,35.0,30.0,6,2,3,48803.0,54.1,1.0,Medium
Elmore County,ID,Idaho,7.88,36.0,36.0,6,9,2,7198.0,54.0,1.0,Medium
Emanuel County,GA,Georgia,7.91,37.0,35.0,9,8,6,5910.0,40.1,2.0,High
Emery County,UT,Utah,8.29,31.0,27.0,1,4,3,2468.0,46.1,1.0,Medium
Erath County,TX,Texas,8.19,35.0,30.0,10,3,5,8685.0,38.1,1.0,Medium
Erie County,NY,New York,12.79,39.0,1.0,2,1,2,211622.0,69.8,3.0,Critical
Erie County,OH,Ohio,8.96,39.0,16.0,5,4,8,19456.0,59.199999999999996,1.0,Medium
Escambia County,FL,Florida,6.97,42.0,45.0,7,8,4,77828.0,55.800000000000004,0.0,Low
Esmeralda County,NV,Nevada,8.23,38.0,29.0,6,5,3,109.0,41.4,0.0,Low
Essex County,MA,Massachusetts,8.77,40.0,21.0,4,7,3,206639.0,73.8,2.0,High
Essex County,NJ,New Jersey,9.98,40.0,7.0,4,4,7,214304.0,72.3,2.0,High
Essex County,VA,Virginia,7.86,38.0,37.0,2,5,5,2259.0,61.7,1.0,Medium
Essex County,VT,Vermont,10.75,43.0,3.0,1,9,6,1285.0,57.3,2.0,High
Estill County,KY,Kentucky,8.58,39.0,22.0,10,9,1,4109.0,51.800000000000004,0.0,Low
Etowah County,AL,Alabama,7.45,39.0,40.0,1,9,8,28752.0,41.0,1.0,Medium
Eureka County,NV,Nevada,8.23,38.0,29.0,6,8,9,165.0,27.6,0.0,Low
Evans County,GA,Georgia,7.91,37.0,35.0,2,7,3,2383.0,40.699999999999996,1.0,Medium
Fairbanks North Star Borough,AK,Alaska,5.1,34.0,50.0,9,5,4,27339.0,59.8,2.0,High
Fairfax City County,VA,Virginia,7.86,38.0,37.0,10,3,6,,,,
Fairfax County,VA,Virginia,7.86,38.0,37.0,8,2,7,178336.0,79.7,2.0,High
Fairfield County,CT,Connecticut,10.44,41.0,5.0,7,6,7,204895.0,81.39999999999999,3.0,Critical
Fairfield County,OH,Ohio,8.96,39.0,16.0,3,5,4,38544.0,57.49999999999999,1.0,Medium
Falls Church,VA,Virginia,7.86,38.0,37.0,9,7,1,,,,
Falls County,TX,Texas,8.19,35.0,30.0,7,1,6,3768.0,47.9,1.0,Medium
Fannin County,GA,Georgia,7.91,37.0,35.0,2,7,7,5128.0,41.9,2.0,High
Fannin County,TX,Texas,8.19,35.0,30.0,7,7,5,6859.0,44.7,1.0,Medium
Faribault County,MN,Minnesota,9.99,38.0,6.0,4,7,1,3779.0,57.4,1.0,Medium
Faulkner County,AR,Arkansas,8.8,38.0,20.0,10,2,7,35057.0,51.300000000000004,1.0,Medium
Fauquier County,VA,Virginia,7.86,38.0,37.0,3,3,6,13052.0,74.0,1.0,Medium
Fayette County,GA,Georgia,7.91,37.0,35.0,9,2,7,22465.0,62.1,1.0,Medium
Fayette County,IL,Illinois,9.52,38.0,9.0,7,5,10,7092.0,36.199999999999996,1.0,Medium
Fayette County,IN,Indiana,8.15,38.0,33.0,3,1,4,6738.0,39.900000000000006,2.0,High
Fayette County,KY,Kentucky,8.58,39.0,22.0,3,5,2,94706.0,66.5,1.0,Medium
Fayette County,OH,Ohio,8.96,39.0,16.0,5,1,4,7783.0,43.5,1.0,Medium
Fayette County,PA,Pennsylvania,8.46,41.0,23.0,1,3,9,31052.0,54.0,1.0,Medium
Fayette County,TN,Tennessee,5.74,39.0,49.0,5,5,9,11421.0,56.99999999999999,2.0,High
Fayette County,TX,Texas,8.19,35.0,30.0,4,5,1,4770.0,50.2,2.0,High
Fentress County,TN,Tennessee,5.74,39.0,49.0,7,5,9,5697.0,33.900000000000006,0.0,Low
Ferry County,WA,Washington,8.34,38.0,24.0,2,5,4,1407.0,56.2,1.0,Medium
Fillmore County,MN,Minnesota,9.99,38.0,6.0,8,7,5,4790.0,68.5,1.0,Medium
Fillmore County,NE,Nebraska,9.01,37.0,14.0,3,3,2,1127.0,52.2,1.0,Medium
Fisher County,TX,Texas,8.19,35.0,30.0,9,5,8,607.0,36.5,1.0,Medium
Flagler County,FL,Florida,6.97,42.0,45.0,2,9,8,22327.0,63.4,1.0,Medium
Fleming County,KY,Kentucky,8.58,39.0,22.0,1,5,6,3852.0,51.7,2.0,High
Florence County,SC,South Carolina,7.45,39.0,40.0,3,3,4,41718.0,54.900000000000006,1.0,Medium
Florence County,WI,Wisconsin,8.89,40.0,17.0,5,9,3,1081.0,54.6,1.0,Medium
Floyd County,GA,Georgia,7.91,37.0,35.0,3,5,1,27328.0,42.3,1.0,Medium
Floyd County,IN,Indiana,8.15,38.0,33.0,9,2,6,18936.0,56.49999999999999,1.0,Medium
Foard County,TX,Texas,8.19,35.0,30.0,4,5,2,203.0,44.0,2.0,High
Fond du Lac County,WI,Wisconsin,8.89,40.0,17.0,6,7,5,31827.0,55.7,2.0,High
Ford County,IL,Illinois,9.52,38.0,9.0,1,9,4,4415.0,57.9,2.0,High
Forest County,WI,Wisconsin,8.89,40.0,17.0,6,2,1,2671.0,60.4,1.0,Medium
Forrest County,MS,Mississippi,8.99,38.0,15.0,1,6,5,21994.0,43.5,1.0,Medium
Forsyth County,GA,Georgia,7.91,37.0,35.0,2,7,10,55495.0,52.900000000000006,1.0,Medium
Forsyth County,NC,North Carolina,8.07,39.0,34.0,5,10,10,92298.0,61.9,1.0,Medium
Fort Bend County,TX,Texas,8.19,35.0,30.0,5,8,6,183651.0,71.5,2.0,High
Franklin City County,VA,Virginia,7.86,38.0,37.0,3,5,4,,,,
Franklin County,AR,Arkansas,8.8,38.0,20.0,6,7,3,3810.0,48.5,1.0,Medium
Franklin County,FL,Florida,6.97,42.0,45.0,6,6,5,3073.0,48.1,0.0,Low
Franklin County,GA,Georgia,7.91,37.0,35.0,1,8,8,5405.0,35.9,3.0,Critical
